epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,805.496,0.80383,0.7451,1.17792,0.71871,0.67228,0.68772,0.55336,1.00807,0.9158,1.24629,0.0091684,0.0091684,0.0091684
44,824.255,0.80819,0.75202,1.17843,0.72663,0.69152,0.70929,0.56849,1.00385,0.8808,1.25106,0.0091486,0.0091486,0.0091486
45,842.898,0.80086,0.74055,1.17788,0.67909,0.68636,0.66974,0.54328,0.98743,0.93506,1.22627,0.0091288,0.0091288,0.0091288
46,861.612,0.79681,0.73276,1.17477,0.78357,0.66857,0.70335,0.57649,0.98399,0.82637,1.23838,0.009109,0.009109,0.009109
47,880.328,0.80609,0.73859,1.17538,0.75976,0.67566,0.70813,0.56746,1.01837,0.86497,1.28412,0.0090892,0.0090892,0.0090892
48,899.043,0.798,0.73185,1.16661,0.71252,0.66232,0.68186,0.5597,0.97334,0.89614,1.24683,0.0090694,0.0090694,0.0090694
49,917.77,0.7813,0.71428,1.1575,0.7351,0.69245,0.70138,0.56328,0.97954,0.85836,1.2295,0.0090496,0.0090496,0.0090496
50,936.529,0.78786,0.7186,1.16225,0.75642,0.68307,0.71096,0.57249,1.00629,0.83996,1.25661,0.0090298,0.0090298,0.0090298
51,955.365,0.78933,0.72338,1.16653,0.71647,0.71577,0.69905,0.57104,0.97851,0.88875,1.22754,0.00901,0.00901,0.00901
52,974.044,0.79416,0.70677,1.16658,0.68358,0.7151,0.704,0.57707,1.01806,0.84384,1.27119,0.0089902,0.0089902,0.0089902
53,992.702,0.78788,0.70226,1.16294,0.68018,0.69415,0.68572,0.56352,1.00326,0.88926,1.23257,0.0089704,0.0089704,0.0089704
54,1011.45,0.77957,0.69684,1.16247,0.74512,0.66876,0.70087,0.55927,1.03801,0.88858,1.28676,0.0089506,0.0089506,0.0089506
55,1030.23,0.77434,0.69536,1.15385,0.72504,0.7221,0.70219,0.57239,0.97264,0.85512,1.22928,0.0089308,0.0089308,0.0089308
56,1049.02,0.7716,0.68941,1.15629,0.70276,0.69864,0.70087,0.56332,1.01053,0.83936,1.22806,0.008911,0.008911,0.008911
57,1067.75,0.7646,0.67907,1.14954,0.70677,0.66576,0.69963,0.54843,1.06448,0.87845,1.26719,0.0088912,0.0088912,0.0088912
58,1086.62,0.7695,0.69525,1.15311,0.7267,0.67208,0.6853,0.55445,1.00379,0.89144,1.25656,0.0088714,0.0088714,0.0088714
59,1105.28,0.77437,0.69531,1.1533,0.73256,0.67355,0.70398,0.56521,0.98681,0.88505,1.23345,0.0088516,0.0088516,0.0088516
60,1123.91,0.77895,0.69475,1.15939,0.73801,0.68848,0.7077,0.57052,0.99745,0.8546,1.22205,0.0088318,0.0088318,0.0088318
