epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,3333.17,0.64443,0.49629,1.06652,0.73255,0.68435,0.7119,0.58816,0.95877,0.83334,1.22103,0.0064756,0.0064756,0.0064756
180,3351.63,0.65712,0.50289,1.07229,0.73361,0.68717,0.7134,0.58536,0.95976,0.8305,1.2217,0.0064558,0.0064558,0.0064558
181,3370.11,0.64692,0.49896,1.06707,0.72735,0.68161,0.71301,0.58707,0.95666,0.82285,1.22123,0.006436,0.006436,0.006436
182,3388.7,0.64076,0.49767,1.06792,0.7193,0.68161,0.71006,0.58701,0.96201,0.829,1.2245,0.0064162,0.0064162,0.0064162
183,3407.18,0.6373,0.49393,1.07176,0.7125,0.692,0.71374,0.58923,0.9652,0.83464,1.22598,0.0063964,0.0063964,0.0063964
184,3425.76,0.6388,0.49746,1.07036,0.71164,0.69425,0.71452,0.58842,0.96595,0.83752,1.2263,0.0063766,0.0063766,0.0063766
185,3444.15,0.64008,0.48412,1.06421,0.7305,0.68081,0.713,0.58859,0.96478,0.84077,1.22175,0.0063568,0.0063568,0.0063568
186,3462.66,0.64134,0.49227,1.06991,0.72642,0.6918,0.71632,0.58955,0.96124,0.83814,1.22014,0.006337,0.006337,0.006337
187,3481.17,0.63649,0.49446,1.06681,0.73365,0.69148,0.71591,0.58868,0.95882,0.83715,1.21792,0.0063172,0.0063172,0.0063172
188,3499.71,0.63577,0.48543,1.06475,0.72441,0.69526,0.71564,0.58895,0.95915,0.83933,1.21807,0.0062974,0.0062974,0.0062974
189,3518.23,0.64286,0.4972,1.07297,0.73077,0.69062,0.71661,0.58953,0.96118,0.84202,1.21697,0.0062776,0.0062776,0.0062776
190,3536.73,0.64709,0.49668,1.07157,0.69573,0.71706,0.71113,0.58917,0.95727,0.83879,1.21307,0.0062578,0.0062578,0.0062578
191,3555.32,0.64394,0.49351,1.07101,0.69883,0.71177,0.71017,0.58847,0.95327,0.84161,1.21099,0.006238,0.006238,0.006238
192,3573.91,0.64087,0.48967,1.06932,0.69752,0.70804,0.71049,0.58938,0.95343,0.84304,1.21213,0.0062182,0.0062182,0.0062182
193,3592.41,0.63613,0.48601,1.06966,0.72699,0.68498,0.70868,0.5895,0.95411,0.84389,1.21173,0.0061984,0.0061984,0.0061984
194,3610.95,0.63901,0.49486,1.06457,0.72381,0.68613,0.70866,0.58932,0.95466,0.84049,1.21285,0.0061786,0.0061786,0.0061786
195,3629.48,0.63394,0.48511,1.06394,0.70427,0.69159,0.70369,0.58892,0.95399,0.83902,1.21149,0.0061588,0.0061588,0.0061588
196,3648.03,0.64559,0.50042,1.06701,0.70921,0.69586,0.70686,0.58755,0.95568,0.84369,1.21207,0.006139,0.006139,0.006139
197,3666.51,0.63485,0.48328,1.06365,0.71183,0.68235,0.70474,0.58706,0.95876,0.84869,1.21481,0.0061192,0.0061192,0.0061192
198,3685.04,0.62881,0.48333,1.05808,0.71534,0.67905,0.70608,0.58702,0.95904,0.85264,1.21397,0.0060994,0.0060994,0.0060994
199,3703.59,0.63403,0.48876,1.06383,0.70575,0.68502,0.70283,0.58603,0.95669,0.85213,1.21191,0.0060796,0.0060796,0.0060796
200,3722.09,0.62649,0.48537,1.05937,0.70237,0.68837,0.70215,0.58686,0.95627,0.84953,1.21113,0.0060598,0.0060598,0.0060598
201,3740.64,0.62631,0.47471,1.06104,0.69483,0.68859,0.7047,0.58602,0.9569,0.85302,1.21198,0.00604,0.00604,0.00604
202,3759.21,0.63302,0.48667,1.06142,0.71715,0.67583,0.70212,0.58711,0.956,0.8563,1.21242,0.0060202,0.0060202,0.0060202
203,3777.79,0.62359,0.48195,1.063,0.72127,0.67569,0.70051,0.58719,0.95797,0.8591,1.21337,0.0060004,0.0060004,0.0060004
204,3796.29,0.64084,0.48644,1.06193,0.72271,0.67584,0.70308,0.58886,0.95485,0.85572,1.21262,0.0059806,0.0059806,0.0059806
205,3814.84,0.61765,0.47122,1.05917,0.72675,0.67592,0.70005,0.5872,0.95727,0.86126,1.21442,0.0059608,0.0059608,0.0059608
